demand_id,developer_username,bid_amount,date_bidded
7,testuser0,5.0,12-07-2017 02:12 PM
7,testuser0,6.0,12-07-2017 02:12 PM
7,testuser0,4.0,12-07-2017 02:12 PM
8,testuser0,50.0,12-07-2017 07:57 PM
8,testuser0,51.0,12-07-2017 07:57 PM
8,testuser0,52.0,12-07-2017 07:57 PM
8,testuser0,5.0,12-07-2017 07:57 PM
8,testuser0,5.02,12-07-2017 07:58 PM
8,testuser0,5.0,12-07-2017 07:58 PM
6,testuser0,5.0,12-07-2017 08:27 PM
6,testuser0,10.0,12-07-2017 08:38 PM
6,testuser0,4.0,12-07-2017 08:38 PM
8,testuser1,10.0,12-07-2017 10:41 PM
8,testuser1,4.0,12-07-2017 10:41 PM
8,testuser1,1.0,12-07-2017 10:41 PM
8,testuser1,1.5,12-07-2017 10:42 PM
8,testuser1,1.4,12-07-2017 10:44 PM
8,testuser1,1.4,12-07-2017 10:48 PM
8,testuser1,0.9,12-07-2017 10:48 PM
7,testuser0,3.0,12-08-2017 02:56 PM
11,testuser1,5.00,12-08-2017 02:58 PM
